asset_id,vibration_g,temperature_c,oil_pressure_psi,usage_hours,maintenance_events,days_since_maintenance,failure_within_30d
ASSET-002,2.404,68.5,57.6,1675,12,41,0
ASSET-002,2.285,79.0,52.2,1911,12,84,0
ASSET-002,2.111,81.6,54.2,2038,12,65,0
ASSET-002,1.372,84.8,51.7,1924,12,51,0
ASSET-002,2.619,92.9,57.8,2018,12,94,0
ASSET-002,2.071,80.8,49.8,1723,12,86,0
ASSET-002,2.3,88.4,56.1,1873,12,89,0
ASSET-002,1.569,76.6,59.8,1983,12,46,0
ASSET-002,1.518,75.0,54.8,1667,12,53,0
ASSET-002,2.275,83.0,60.1,1961,12,69,0
ASSET-002,3.004,82.0,56.9,2014,12,45,0
ASSET-002,2.414,83.2,48.6,1991,12,91,0
ASSET-002,1.661,79.8,59.5,1665,12,94,0
ASSET-002,2.232,88.3,56.8,1928,12,66,0
ASSET-002,3.066,91.2,50.6,2060,12,76,0
ASSET-002,1.815,83.5,55.1,2106,12,65,0
ASSET-002,1.973,83.1,56.1,1644,12,90,0
ASSET-002,2.313,82.6,50.2,1933,12,43,0
ASSET-002,2.518,78.7,52.4,1629,12,92,0
ASSET-002,0.956,76.1,56.3,2103,12,52,0
ASSET-002,2.245,90.1,52.9,2031,12,88,0
ASSET-002,1.968,83.3,61.0,1648,12,49,0
ASSET-002,2.073,67.9,57.7,1624,12,40,0
ASSET-002,2.455,79.0,54.5,1917,12,65,0
ASSET-002,2.803,78.1,58.0,1831,12,72,0
ASSET-002,3.392,81.2,53.5,2078,12,66,0
ASSET-002,2.399,75.1,45.9,1822,12,76,0
ASSET-002,3.242,86.2,49.0,1771,12,63,0
ASSET-002,2.583,78.5,57.6,1915,12,77,0
ASSET-002,3.047,81.5,55.3,2102,12,68,0
ASSET-002,1.725,83.2,58.1,1744,12,56,0
ASSET-002,2.69,68.5,51.8,1865,12,48,0
ASSET-002,1.814,70.7,40.1,1976,12,47,0
ASSET-002,2.445,83.3,51.9,1834,12,56,0
ASSET-002,1.814,84.6,60.4,1855,12,47,0
ASSET-002,2.953,76.9,59.6,1947,12,46,0
ASSET-002,1.708,77.3,55.0,2081,12,47,0
ASSET-002,0.943,76.2,45.0,2119,12,73,0
ASSET-002,2.145,81.6,48.4,1825,12,78,0
ASSET-002,2.365,92.0,52.8,1787,12,66,0
ASSET-003,2.035,86.3,52.1,2477,8,177,0
ASSET-003,2.403,80.7,53.7,2493,8,145,1
ASSET-003,1.945,86.7,43.8,2323,8,151,0
ASSET-003,1.07,77.3,49.3,2367,8,166,0
ASSET-003,2.097,89.3,58.6,2679,8,175,0
ASSET-003,2.338,73.9,43.6,2448,8,185,0
ASSET-003,1.507,91.4,47.2,2602,8,178,0
ASSET-003,4.159,88.7,42.7,2460,8,142,0
ASSET-003,3.566,76.8,54.0,2690,8,166,0
ASSET-003,2.708,81.5,53.0,2614,8,153,0
ASSET-003,1.022,96.2,63.8,2230,8,142,0
ASSET-003,2.328,76.5,54.2,2346,8,133,0
ASSET-003,2.615,83.2,50.2,2365,8,159,0
ASSET-003,2.721,84.2,59.9,2727,8,171,0
ASSET-003,2.706,79.2,51.7,2525,8,148,0
ASSET-003,2.02,84.1,50.0,2328,8,184,0
ASSET-003,0.972,91.9,52.2,2603,8,145,0
ASSET-003,3.898,88.3,53.0,2492,8,137,0
ASSET-003,2.248,83.3,48.0,2305,8,183,0
ASSET-003,2.742,84.5,55.5,2725,8,146,0
ASSET-003,1.926,78.8,49.9,2705,8,130,0
ASSET-003,3.16,78.6,46.2,2351,8,165,0
ASSET-003,2.877,77.4,51.1,2420,8,136,0
ASSET-003,2.257,77.5,50.7,2228,8,151,0
ASSET-003,5.401,89.1,54.4,2443,8,178,0
ASSET-003,2.447,100.4,51.3,2569,8,163,0
ASSET-003,5.894,77.7,41.9,2251,8,155,1
ASSET-003,2.019,86.7,49.0,2348,8,180,0
ASSET-003,1.938,91.8,54.2,2614,8,131,0
ASSET-003,4.254,88.8,41.7,2408,8,165,0
ASSET-003,3.288,87.1,57.8,2386,8,145,0
ASSET-003,5.505,75.7,50.8,2597,8,130,0
ASSET-003,2.534,84.2,45.5,2314,8,161,0
ASSET-003,2.744,72.3,50.3,2676,8,134,0
ASSET-003,2.046,78.1,52.3,2375,8,177,0
ASSET-003,4.321,82.7,52.2,2354,8,143,0
ASSET-003,2.822,84.2,51.4,2607,8,183,0
ASSET-003,1.815,69.8,41.5,2275,8,167,0
ASSET-003,0.866,87.3,59.0,2327,8,132,0
ASSET-003,5.366,98.8,59.8,2598,8,178,0
ASSET-004,4.08,124.3,51.2,4405,13,363,1
ASSET-004,4.542,80.8,46.9,4343,13,368,0
ASSET-004,4.211,69.7,34.7,4114,13,360,0
ASSET-004,2.57,93.6,40.8,4330,13,352,0
ASSET-004,2.153,53.2,44.7,4213,13,379,0
ASSET-004,4.762,60.6,35.1,4477,13,394,1
ASSET-004,1.618,57.6,38.7,4202,13,373,0
ASSET-004,4.558,73.1,38.8,4318,13,349,0
ASSET-004,3.645,102.3,40.1,4146,13,385,1
ASSET-004,2.79,71.8,48.0,4283,13,355,0
ASSET-004,5.036,87.0,55.1,4158,13,391,0
ASSET-004,3.308,77.3,59.0,4128,13,393,0
ASSET-004,3.662,88.7,53.8,4271,13,347,0
ASSET-004,3.707,93.1,51.3,4570,13,352,0
ASSET-004,3.932,77.3,47.6,4126,13,367,0
ASSET-004,4.127,87.4,36.2,4276,13,368,0
ASSET-004,3.829,84.7,57.0,4419,13,377,0
ASSET-004,2.552,78.4,39.6,4467,13,340,0
ASSET-004,4.048,87.2,36.8,4484,13,377,0
ASSET-004,4.207,85.7,32.9,4420,13,375,0
ASSET-004,2.502,86.8,42.9,4382,13,342,0
ASSET-004,4.899,78.7,47.5,4448,13,361,0
ASSET-004,3.674,71.4,41.9,4256,13,365,0
ASSET-004,3.464,90.5,47.6,4253,13,380,0
ASSET-004,3.012,61.4,44.6,4560,13,391,0
ASSET-004,4.049,85.8,49.4,4231,13,380,0
ASSET-004,3.752,95.0,53.8,4463,13,355,1
ASSET-004,3.755,94.2,40.7,4360,13,364,0
ASSET-004,4.453,80.0,38.7,4519,13,372,0
ASSET-004,4.205,61.5,43.0,4249,13,390,0
ASSET-004,3.871,86.5,45.8,4440,13,354,0
ASSET-004,4.868,68.6,44.0,4419,13,388,0
ASSET-004,3.476,68.3,43.6,4208,13,348,0
ASSET-004,6.019,74.5,55.7,4104,13,365,0
ASSET-004,3.766,76.9,34.9,4215,13,356,0
ASSET-004,3.795,91.0,46.1,4344,13,373,0
ASSET-004,4.012,96.4,54.4,4143,13,345,1
ASSET-004,2.851,89.6,34.4,4275,13,380,0
ASSET-004,3.554,63.9,42.9,4208,13,384,0
ASSET-004,5.824,69.5,48.5,4253,13,349,1
ASSET-005,2.672,70.3,43.9,2432,11,259,0
ASSET-005,3.641,89.8,49.4,2105,11,264,0
ASSET-005,1.472,84.3,49.3,2218,11,257,0
ASSET-005,3.425,90.5,54.7,2204,11,248,0
ASSET-005,2.902,103.8,34.4,2108,11,294,1
ASSET-005,1.891,80.4,43.4,2217,11,295,1
ASSET-005,2.06,72.0,48.3,2165,11,270,0
ASSET-005,2.862,92.2,51.6,2045,11,259,0
ASSET-005,2.909,76.7,46.7,2301,11,289,0
ASSET-005,3.363,86.3,53.7,2054,11,244,0
ASSET-005,3.773,79.7,41.8,2255,11,257,0
ASSET-005,2.431,83.0,43.6,2360,11,278,0
ASSET-005,2.731,83.0,33.7,2451,11,264,0
ASSET-005,3.664,88.8,56.4,2123,11,263,1
ASSET-005,3.216,83.8,52.5,2081,11,251,0
ASSET-005,2.849,92.1,44.7,2221,11,258,0
ASSET-005,3.819,80.2,58.3,2270,11,297,0
ASSET-005,1.592,87.6,40.6,2072,11,261,0
ASSET-005,2.35,83.7,53.3,2484,11,256,0
ASSET-005,2.919,97.0,46.3,2350,11,269,0
ASSET-005,3.411,95.8,57.4,2382,11,297,0
ASSET-005,2.986,105.2,57.8,2484,11,294,0
ASSET-005,3.314,89.7,50.6,2310,11,253,0
ASSET-005,3.03,85.7,46.2,2269,11,290,0
ASSET-005,2.325,78.7,44.1,2303,11,243,0
ASSET-005,3.365,87.3,34.6,2502,11,262,0
ASSET-005,2.013,96.4,45.4,2426,11,246,0
ASSET-005,2.982,75.8,56.0,2229,11,242,0
ASSET-005,3.012,98.6,50.5,2032,11,286,0
ASSET-005,2.127,97.7,50.4,2330,11,268,1
ASSET-005,4.65,105.6,44.4,2193,11,273,0
ASSET-005,3.065,106.8,54.1,2346,11,267,0
ASSET-005,3.47,108.8,51.0,2500,11,293,1
ASSET-005,2.595,98.0,39.0,2079,11,281,0
ASSET-005,3.631,100.0,54.6,2219,11,250,0
ASSET-005,2.836,93.0,52.0,2503,11,260,0
ASSET-005,0.936,86.7,47.8,2492,11,265,0
ASSET-005,3.133,93.5,44.7,2373,11,282,0
ASSET-005,3.146,87.3,52.6,2059,11,255,0
ASSET-005,2.523,84.2,52.8,2508,11,260,0
ASSET-006,4.53,74.5,55.7,1444,3,339,0
ASSET-006,3.545,90.0,47.4,1394,3,317,0
ASSET-006,2.301,97.8,53.8,1283,3,330,0
ASSET-006,2.27,74.5,50.2,1572,3,302,0
ASSET-006,3.641,83.5,50.8,1240,3,320,0
ASSET-006,4.353,103.1,47.3,1496,3,294,0
ASSET-006,2.679,104.3,47.6,1550,3,329,1
ASSET-006,3.601,82.9,43.4,1408,3,330,0
ASSET-006,2.003,76.1,38.0,1213,3,335,0
ASSET-006,2.81,88.4,60.7,1247,3,335,0
ASSET-006,3.23,90.7,50.7,1388,3,308,0
ASSET-006,3.142,91.6,44.9,1584,3,319,0
ASSET-006,2.064,92.1,42.8,1265,3,295,0
ASSET-006,3.718,92.5,47.7,1329,3,305,0
ASSET-006,2.933,90.2,52.0,1278,3,309,0
ASSET-006,2.473,102.9,46.4,1460,3,336,0
ASSET-006,2.863,102.9,54.6,1411,3,344,0
ASSET-006,3.094,99.0,41.9,1436,3,315,0
ASSET-006,2.319,104.9,46.7,1225,3,341,1
ASSET-006,2.787,72.6,43.6,1602,3,327,0
ASSET-006,2.434,86.1,41.2,1564,3,294,0
ASSET-006,2.862,86.1,49.1,1303,3,339,0
ASSET-006,2.096,91.3,52.9,1671,3,307,0
ASSET-006,5.11,75.6,40.7,1495,3,337,1
ASSET-006,2.722,94.4,45.0,1295,3,303,0
ASSET-006,2.167,85.3,41.2,1309,3,302,0
ASSET-006,3.315,93.2,49.5,1258,3,349,0
ASSET-006,3.688,76.4,47.1,1675,3,296,0
ASSET-006,2.719,92.9,46.6,1296,3,345,0
ASSET-006,6.183,73.0,50.5,1447,3,315,0
ASSET-006,2.949,99.7,35.8,1271,3,303,0
ASSET-006,2.305,91.0,48.7,1461,3,309,0
ASSET-006,2.928,87.9,39.9,1678,3,317,0
ASSET-006,1.827,89.9,48.4,1402,3,298,0
ASSET-006,3.929,95.4,45.6,1671,3,345,0
ASSET-006,3.539,91.3,62.4,1417,3,348,0
ASSET-006,2.512,92.2,48.1,1226,3,350,0
ASSET-006,3.12,94.5,46.6,1496,3,349,0
ASSET-006,2.812,74.9,41.9,1658,3,340,1
ASSET-006,2.504,92.0,47.9,1417,3,311,0
ASSET-007,2.727,77.3,52.3,3357,7,110,0
ASSET-007,1.921,83.5,50.9,3297,7,121,0
ASSET-007,2.653,93.2,50.1,2937,7,104,0
ASSET-007,1.931,87.4,47.7,3148,7,104,0
ASSET-007,1.669,80.8,60.5,2994,7,104,0
ASSET-007,2.638,87.3,49.9,2969,7,141,0
ASSET-007,3.172,76.2,49.3,3214,7,121,0
ASSET-007,2.957,76.9,53.6,3147,7,142,0
ASSET-007,3.076,80.2,47.6,3047,7,109,0
ASSET-007,3.607,104.3,45.3,3077,7,117,0
ASSET-007,1.962,78.9,49.4,3201,7,130,0
ASSET-007,2.392,88.7,42.9,3265,7,146,0
ASSET-007,2.838,78.8,57.6,3295,7,152,0
ASSET-007,3.034,97.0,56.0,3169,7,127,0
ASSET-007,2.607,108.1,48.7,3384,7,105,1
ASSET-007,2.237,85.4,53.1,2971,7,103,0
ASSET-007,2.915,87.4,50.4,3394,7,106,0
ASSET-007,2.603,88.6,47.8,3039,7,140,0
ASSET-007,1.269,92.5,56.8,3067,7,117,0
ASSET-007,3.687,80.9,48.5,3243,7,153,0
ASSET-007,2.981,88.1,51.3,3143,7,135,0
ASSET-007,2.609,94.2,42.5,3197,7,122,0
ASSET-007,2.418,93.4,46.5,3089,7,156,0
ASSET-007,2.125,85.0,56.0,3200,7,97,0
ASSET-007,4.805,94.9,51.9,2951,7,137,0
ASSET-007,3.171,82.9,46.9,3145,7,137,0
ASSET-007,5.388,97.9,42.1,2999,7,130,1
ASSET-007,2.72,78.2,51.6,3074,7,116,0
ASSET-007,1.936,70.0,48.6,3143,7,148,0
ASSET-007,1.89,105.9,56.1,3161,7,101,0
ASSET-007,2.659,83.0,52.7,3012,7,127,0
ASSET-007,3.201,62.7,48.0,2930,7,101,0
ASSET-007,3.337,72.0,55.9,3348,7,139,0
ASSET-007,3.023,91.2,42.3,2961,7,104,0
ASSET-007,3.569,86.6,44.4,3290,7,102,0
ASSET-007,1.778,69.4,48.9,3031,7,104,0
ASSET-007,3.77,86.8,51.9,3052,7,115,0
ASSET-007,3.08,76.9,49.3,2959,7,116,0
ASSET-007,2.472,81.5,52.7,3345,7,113,0
ASSET-007,2.445,84.6,50.9,2994,7,138,0
ASSET-008,4.009,94.6,49.4,2570,1,278,0
ASSET-008,2.832,92.0,43.2,2466,1,313,0
ASSET-008,3.355,99.9,47.7,2780,1,334,0
ASSET-008,4.725,84.9,43.3,2498,1,333,0
ASSET-008,3.051,78.0,54.9,2409,1,337,0
ASSET-008,3.012,106.0,48.9,2509,1,306,1
ASSET-008,3.106,81.6,48.4,2368,1,333,0
ASSET-008,1.159,92.0,45.4,2428,1,294,0
ASSET-008,2.989,96.9,45.8,2463,1,279,0
ASSET-008,3.479,109.3,43.4,2617,1,299,1
ASSET-008,3.028,79.0,52.8,2496,1,290,0
ASSET-008,3.16,95.9,44.4,2703,1,322,0
ASSET-008,4.448,92.4,49.6,2706,1,337,0
ASSET-008,3.285,88.0,46.5,2537,1,278,0
ASSET-008,2.578,77.3,48.0,2776,1,279,0
ASSET-008,3.204,78.7,49.3,2527,1,283,0
ASSET-008,2.633,94.7,48.9,2763,1,309,0
ASSET-008,3.632,98.9,42.8,2424,1,324,0
ASSET-008,2.423,97.2,46.9,2382,1,283,0
ASSET-008,3.086,93.7,51.3,2538,1,283,0
ASSET-008,3.112,91.0,49.1,2789,1,303,0
ASSET-008,3.032,89.7,49.3,2389,1,303,0
ASSET-008,3.19,114.5,45.1,2605,1,327,1
ASSET-008,3.708,93.2,55.4,2827,1,309,0
ASSET-008,2.535,82.9,42.1,2540,1,311,0
ASSET-008,3.479,81.6,41.8,2511,1,293,0
ASSET-008,3.507,82.4,44.8,2424,1,313,0
ASSET-008,3.572,96.2,55.3,2521,1,330,0
ASSET-008,2.394,79.3,46.3,2536,1,296,0
ASSET-008,3.456,96.2,45.3,2602,1,320,1
ASSET-008,1.899,89.6,46.4,2763,1,334,0
ASSET-008,2.345,80.0,48.3,2597,1,295,0
ASSET-008,2.902,81.6,44.5,2517,1,315,0
ASSET-008,2.915,84.8,50.2,2496,1,335,0
ASSET-008,4.111,108.7,41.8,2633,1,337,1
ASSET-008,1.999,90.9,43.1,2404,1,321,0
ASSET-008,3.002,95.3,61.3,2386,1,280,0
ASSET-008,4.179,80.5,41.4,2812,1,298,0
ASSET-008,3.832,82.0,39.9,2501,1,295,1
ASSET-008,2.526,89.4,54.9,2400,1,321,0
ASSET-009,2.686,87.2,56.4,1798,13,184,0
ASSET-009,2.415,89.8,54.7,1742,13,202,0
ASSET-009,2.834,78.2,53.7,1772,13,215,0
ASSET-009,3.722,82.4,40.3,2039,13,198,0
ASSET-009,2.786,88.5,54.4,1684,13,197,0
ASSET-009,3.195,94.8,48.8,1649,13,198,0
ASSET-009,2.269,84.5,47.9,1665,13,221,0
ASSET-009,2.333,103.6,50.1,1997,13,225,0
ASSET-009,3.506,88.2,52.6,1793,13,235,0
ASSET-009,2.295,87.9,57.4,1605,13,182,0
ASSET-009,1.154,96.0,52.0,1763,13,181,0
ASSET-009,2.51,103.6,51.2,1654,13,205,1
ASSET-009,2.488,70.7,49.3,1655,13,229,0
ASSET-009,3.469,92.3,53.9,1876,13,202,0
ASSET-009,1.202,87.1,52.4,1674,13,202,0
ASSET-009,2.444,92.0,63.4,1982,13,233,0
ASSET-009,3.017,77.8,49.5,2067,13,187,0
ASSET-009,2.932,81.7,50.4,1613,13,234,0
ASSET-009,2.328,93.5,46.7,1942,13,231,0
ASSET-009,1.387,92.9,41.6,1873,13,219,0
ASSET-009,2.395,80.8,53.9,1958,13,182,0
ASSET-009,1.977,73.2,52.4,1604,13,196,0
ASSET-009,3.518,73.2,43.2,1975,13,198,0
ASSET-009,2.869,68.1,41.6,1625,13,196,0
ASSET-009,3.311,104.1,47.3,1749,13,225,1
ASSET-009,1.881,86.2,49.8,1651,13,192,0
ASSET-009,2.806,95.7,49.4,1749,13,233,0
ASSET-009,3.141,108.7,48.1,2059,13,217,0
ASSET-009,2.336,91.2,46.1,1685,13,221,0
ASSET-009,1.447,71.7,43.9,1718,13,219,0
ASSET-009,2.152,84.0,57.0,1789,13,233,0
ASSET-009,2.759,91.1,45.9,1854,13,205,0
ASSET-009,2.372,100.3,46.2,1655,13,209,1
ASSET-009,2.706,94.6,57.3,1925,13,227,0
ASSET-009,2.065,91.0,47.3,1834,13,181,0
ASSET-009,2.306,98.0,52.9,2064,13,224,1
ASSET-009,3.24,100.5,51.8,2055,13,227,1
ASSET-009,2.752,93.9,50.8,1888,13,222,0
ASSET-009,1.483,84.2,59.8,1629,13,201,1
ASSET-009,3.678,91.3,50.4,1852,13,196,0
ASSET-010,3.053,91.1,47.6,4305,6,101,0
ASSET-010,3.34,95.9,51.3,4510,6,82,0
ASSET-010,2.699,86.8,60.2,4614,6,122,0
ASSET-010,2.689,69.2,50.4,4413,6,130,0
ASSET-010,4.043,93.6,48.3,4450,6,128,0
ASSET-010,3.199,94.5,36.7,4712,6,111,0
ASSET-010,3.114,89.3,50.4,4556,6,106,0
ASSET-010,2.284,99.5,47.7,4386,6,126,0
ASSET-010,4.096,93.1,51.5,4676,6,129,0
ASSET-010,1.852,81.9,55.6,4379,6,125,0
ASSET-010,3.968,89.1,49.4,4643,6,90,0
ASSET-010,3.587,76.6,38.0,4457,6,130,0
ASSET-010,2.497,89.9,53.8,4510,6,105,0
ASSET-010,4.132,92.1,44.5,4589,6,125,0
ASSET-010,3.01,90.9,41.9,4633,6,117,0
ASSET-010,3.508,102.2,46.0,4510,6,129,0
ASSET-010,2.945,80.3,42.3,4598,6,108,0
ASSET-010,3.102,112.6,42.4,4438,6,87,0
ASSET-010,3.007,84.1,49.6,4742,6,90,0
ASSET-010,2.432,86.5,40.2,4387,6,98,0
ASSET-010,3.016,83.3,52.1,4520,6,130,0
ASSET-010,3.24,105.5,51.2,4661,6,87,1
ASSET-010,3.645,83.2,39.5,4368,6,122,0
ASSET-010,1.675,77.1,41.7,4734,6,90,0
ASSET-010,3.346,91.5,50.4,4516,6,118,0
ASSET-010,3.627,91.4,47.9,4275,6,81,0
ASSET-010,2.941,97.0,47.7,4411,6,124,0
ASSET-010,2.979,99.4,42.5,4312,6,92,0
ASSET-010,2.631,86.2,42.3,4642,6,118,0
ASSET-010,2.087,107.3,45.3,4491,6,121,0
ASSET-010,4.804,104.3,42.6,4638,6,123,1
ASSET-010,6.527,100.3,45.4,4581,6,96,1
ASSET-010,1.801,90.9,54.8,4484,6,78,0
ASSET-010,3.643,82.9,38.1,4599,6,117,0
ASSET-010,1.773,108.1,52.8,4677,6,125,0
ASSET-010,5.425,85.8,63.9,4438,6,115,0
ASSET-010,2.525,95.0,54.5,4641,6,91,0
ASSET-010,2.577,85.5,57.0,4573,6,99,0
ASSET-010,3.526,95.7,46.3,4740,6,102,0
ASSET-010,5.839,80.2,43.0,4679,6,84,1
ASSET-011,3.609,82.5,48.2,2508,13,146,0
ASSET-011,2.926,73.4,52.9,2557,13,112,0
ASSET-011,3.506,98.1,43.4,2613,13,105,0
ASSET-011,1.853,88.1,50.8,2522,13,118,0
ASSET-011,2.354,92.8,54.1,2551,13,122,0
ASSET-011,2.155,92.1,55.7,2638,13,146,0
ASSET-011,2.013,97.6,50.6,2523,13,146,1
ASSET-011,2.762,78.3,66.3,2466,13,104,0
ASSET-011,2.599,91.0,41.1,2743,13,148,0
ASSET-011,1.164,75.9,48.1,2730,13,133,0
ASSET-011,2.821,91.5,51.7,2454,13,101,0
ASSET-011,3.765,79.0,53.3,2611,13,122,0
ASSET-011,1.817,94.1,51.0,2905,13,133,0
ASSET-011,3.106,81.5,48.9,2933,13,103,0
ASSET-011,2.808,81.7,60.4,2735,13,118,0
ASSET-011,3.523,100.8,45.3,2858,13,138,0
ASSET-011,2.032,79.2,55.9,2498,13,106,0
ASSET-011,2.094,93.1,56.6,2754,13,143,0
ASSET-011,3.319,82.2,47.4,2776,13,110,0
ASSET-011,2.403,87.0,59.0,2821,13,109,0
ASSET-011,2.873,82.3,39.2,2595,13,108,0
ASSET-011,2.541,98.4,45.2,2494,13,118,1
ASSET-011,1.494,107.3,48.1,2519,13,116,0
ASSET-011,2.168,86.9,52.4,2575,13,147,0
ASSET-011,2.089,101.4,50.9,2638,13,112,0
ASSET-011,2.249,87.5,58.8,2770,13,130,0
ASSET-011,2.417,102.1,48.9,2756,13,102,0
ASSET-011,2.208,92.6,54.9,2571,13,97,0
ASSET-011,1.319,93.7,49.6,2673,13,133,0
ASSET-011,2.514,91.8,48.6,2617,13,112,0
ASSET-011,2.185,81.5,44.8,2839,13,117,0
ASSET-011,2.216,92.1,43.7,2886,13,131,0
ASSET-011,1.689,86.4,56.9,2577,13,97,0
ASSET-011,2.447,94.8,50.4,2787,13,116,0
ASSET-011,2.885,91.1,55.0,2804,13,153,0
ASSET-011,2.388,81.2,45.9,2585,13,110,0
ASSET-011,3.233,87.5,63.3,2719,13,135,0
ASSET-011,2.625,97.6,47.8,2470,13,94,0
ASSET-011,3.147,78.0,51.5,2600,13,98,0
ASSET-011,1.832,87.3,48.4,2804,13,117,0
ASSET-012,2.713,86.8,50.3,1808,14,56,0
ASSET-012,2.957,76.3,61.9,1738,14,84,0
ASSET-012,2.795,79.7,53.2,1400,14,100,0
ASSET-012,2.312,86.5,60.4,1750,14,58,0
ASSET-012,2.072,73.8,48.2,1482,14,59,0
ASSET-012,2.29,82.0,53.3,1626,14,53,0
ASSET-012,1.884,81.1,49.9,1599,14,103,0
ASSET-012,2.494,91.6,52.3,1424,14,90,1
ASSET-012,1.981,81.8,56.9,1745,14,64,0
ASSET-012,1.754,83.5,52.1,1731,14,96,0
ASSET-012,1.399,75.1,53.1,1402,14,79,0
ASSET-012,2.377,74.3,50.5,1695,14,67,0
ASSET-012,2.69,79.2,56.8,1485,14,68,0
ASSET-012,2.435,74.2,46.3,1811,14,77,0
ASSET-012,1.61,73.9,52.3,1339,14,52,0
ASSET-012,1.61,80.3,57.5,1826,14,93,0
ASSET-012,1.915,87.4,51.6,1621,14,90,0
ASSET-012,2.32,84.4,51.2,1574,14,50,0
ASSET-012,2.664,80.6,48.2,1356,14,53,0
ASSET-012,5.158,70.0,44.7,1342,14,105,0
ASSET-012,3.761,85.4,45.9,1772,14,107,0
ASSET-012,2.576,88.2,56.0,1739,14,104,0
ASSET-012,2.269,79.6,55.8,1385,14,53,0
ASSET-012,2.323,87.1,52.8,1437,14,98,0
ASSET-012,1.818,88.3,49.7,1683,14,49,0
ASSET-012,3.108,77.3,54.7,1788,14,79,0
ASSET-012,4.084,93.7,51.9,1751,14,95,0
ASSET-012,1.957,89.2,56.8,1486,14,69,0
ASSET-012,1.463,85.9,51.4,1474,14,83,0
ASSET-012,2.481,75.8,56.0,1523,14,74,0
ASSET-012,2.448,90.5,57.6,1642,14,48,0
ASSET-012,2.598,73.9,51.1,1669,14,81,0
ASSET-012,2.771,84.4,52.6,1776,14,56,0
ASSET-012,2.005,80.0,56.8,1701,14,54,0
ASSET-012,1.851,78.4,53.1,1361,14,100,0
ASSET-012,2.043,78.0,55.4,1835,14,56,0
ASSET-012,3.067,83.5,47.1,1694,14,51,0
ASSET-012,1.698,79.8,55.1,1513,14,79,0
ASSET-012,1.94,97.1,47.8,1787,14,107,0
ASSET-012,2.444,71.7,53.5,1717,14,59,0
ASSET-013,2.04,83.3,48.9,2093,14,125,0
ASSET-013,2.517,100.1,60.7,2028,14,134,0
ASSET-013,1.494,80.1,46.6,2134,14,128,0
ASSET-013,2.85,78.7,49.7,2079,14,170,0
ASSET-013,1.979,91.0,44.5,1959,14,140,0
ASSET-013,3.345,86.9,51.6,1965,14,136,0
ASSET-013,1.794,85.1,51.9,2021,14,157,0
ASSET-013,2.36,91.9,46.7,2091,14,146,0
ASSET-013,3.457,88.8,44.2,1683,14,150,0
ASSET-013,2.783,80.3,51.6,1822,14,177,0
ASSET-013,2.48,81.9,56.7,1987,14,158,0
ASSET-013,2.387,72.8,55.0,1873,14,152,0
ASSET-013,2.559,77.5,50.4,1707,14,165,0
ASSET-013,1.578,86.6,61.6,1979,14,131,0
ASSET-013,1.524,82.2,56.7,1848,14,161,0
ASSET-013,2.295,92.4,51.5,1959,14,153,0
